Label,H2Kc,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,CPP,Energy,HNR05,HNR15,HNR25,HNR35,strF0,normalized_time,phonation,tone,Speaker
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.289,0,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.723,0.004,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.907,0.009,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.263,0.013,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.782,0.017,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.303,0.022,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.781,0.026,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.255,0.03,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.952,0.034,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.484,0.039,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.972,0.043,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.789,0.047,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.534,0.052,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.206,0.056,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,176.959,0.06,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,177.826,0.065,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.901,0,0,0,0,178.595,0.069,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.904,0,0,0,0,179.149,0.073,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.907,0,0,0,0,179.794,0.078,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.928,0,0,0,0,180.596,0.082,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,181.429,0.086,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,0.987,0,0,0,0,182.24,0.091,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.029,0,0,0,0,183.036,0.095,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.032,0,0,0,0,183.777,0.099,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.022,0,0,0,0,184.41,0.103,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.036,0,0,0,0,184.943,0.108,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.045,0,0,0,0,185.359,0.112,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.083,0,0,0,0,185.641,0.116,Laryngealized,HL,RD
yu’u,0,0,0,0,0,0,0,0,0,1.095,0,0,0,0,185.802,0.121,Laryngealized,HL,RD
