Label,H2Kc,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,CPP,Energy,HNR05,HNR15,HNR25,HNR35,strF0,normalized_time,phonation,tone,Speaker
yu’u,1.688,9.215,4.236,11.808,29.517,19.085,-1.301,28.48,14.828,1.742,12.832,26.563,32.868,37.633,172.344,0.332,Laryngealized,HL,RD
yu’u,1.673,9.09,4.311,11.611,29.24,18.999,-1.285,28.532,14.662,1.769,13.26,26.794,32.992,37.624,171.984,0.336,Laryngealized,HL,RD
yu’u,1.258,8.96,4.802,11.407,29.536,19.135,-1.289,28.545,14.521,1.785,13.416,26.77,32.94,37.558,171.412,0.341,Laryngealized,HL,RD
yu’u,2.35,8.798,4.695,11.161,28.919,18.384,-2.205,28.611,14.358,1.795,13.071,26.39,32.723,37.416,170.705,0.345,Laryngealized,HL,RD
yu’u,2.335,8.672,4.843,10.963,28.409,18.097,-2.253,28.948,14.492,1.889,13.136,26.247,32.609,37.319,169.906,0.349,Laryngealized,HL,RD
yu’u,3.356,8.528,4.523,10.749,27.899,17.283,-2.873,29.053,14.39,1.901,12.909,25.963,32.316,37.107,169.163,0.353,Laryngealized,HL,RD
yu’u,2.939,8.386,4.91,10.548,27.73,17.534,-2.748,29.222,14.284,1.923,12.784,25.692,32.121,36.925,168.501,0.358,Laryngealized,HL,RD
yu’u,2.994,8.206,4.988,10.319,27.578,17.422,-2.763,29.5,14.226,1.963,12.675,25.444,31.911,36.737,167.925,0.362,Laryngealized,HL,RD
yu’u,2.978,8.016,5.43,10.078,27.519,17.34,-3.074,29.842,14.092,1.996,12.855,25.458,31.902,36.683,167.309,0.366,Laryngealized,HL,RD
yu’u,3.63,7.817,5.536,9.818,27.012,16.531,-3.728,30.054,13.98,2.034,13.088,25.532,31.944,36.73,166.639,0.371,Laryngealized,HL,RD
yu’u,3.859,7.658,5.796,9.617,26.679,16.148,-4.095,30.404,13.781,2.095,13.779,26.01,32.34,37.005,165.914,0.375,Laryngealized,HL,RD
yu’u,4.678,7.475,5.916,9.4,26.352,15.401,-4.909,30.768,13.754,2.115,13.715,25.901,32.195,36.825,165.334,0.379,Laryngealized,HL,RD
yu’u,4.785,7.275,6.268,9.174,26.038,15.352,-5.238,31.234,13.658,2.129,13.481,25.59,31.971,36.678,164.888,0.384,Laryngealized,HL,RD
yu’u,4.645,7.083,6.656,8.96,25.966,15.451,-5.35,31.661,13.679,2.177,13.296,25.413,31.782,36.489,164.192,0.388,Laryngealized,HL,RD
yu’u,5.002,6.845,6.97,8.693,25.526,14.928,-5.875,31.856,13.585,2.196,13.009,25.083,31.507,36.251,163.344,0.392,Laryngealized,HL,RD
yu’u,5.639,6.593,7.024,8.413,25.068,14.253,-6.427,32.194,13.632,2.233,12.734,24.797,31.281,36.058,162.286,0.397,Laryngealized,HL,RD
yu’u,5.756,6.449,6.95,8.23,24.684,13.917,-6.35,32.331,13.575,2.303,12.627,24.701,31.162,35.929,161.064,0.401,Laryngealized,HL,RD
yu’u,6.432,6.266,7.212,8.009,24.376,13.277,-7.158,32.806,13.668,2.341,12.412,24.632,31.105,35.823,159.914,0.405,Laryngealized,HL,RD
