Label,H2Kc,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,H42Kc,H2KH5Kc,CPP,Energy,HNR05,HNR15,HNR25,HNR35,strF0,normalized_time,phonation,tone,Speaker
yu’u,8.993,0.117,4.023,0.172,18.229,9.281,-5.089,35.883,15.221,1.348,12.165,24.028,30.431,35.811,133.158,0.664,Laryngealized,HL,RD
yu’u,8.177,0.247,3.945,0.302,18.481,9.503,-4.244,35.047,15.299,1.287,12.893,24.638,30.867,36.046,132.98,0.668,Laryngealized,HL,RD
yu’u,7.399,0.388,3.796,0.444,18.986,9.721,-3.366,34.448,15.349,1.234,13.347,24.971,31.104,36.13,132.94,0.672,Laryngealized,HL,RD
yu’u,7.246,0.354,3.922,0.41,19.053,9.242,-3.404,33.768,15.432,1.187,13.961,25.516,31.544,36.392,132.934,0.677,Laryngealized,HL,RD
yu’u,6.166,0.461,3.867,0.517,19.534,9.58,-2.335,33.019,15.417,1.161,14.546,25.944,31.842,36.562,132.932,0.681,Laryngealized,HL,RD
yu’u,6.126,0.572,3.978,0.629,19.829,9.533,-2.474,32.807,15.52,1.137,15.029,26.333,32.111,36.726,132.89,0.685,Laryngealized,HL,RD
yu’u,5.59,0.642,4.104,0.697,20.268,9.832,-2.14,32.569,15.676,1.115,15.697,26.798,32.388,36.917,132.799,0.69,Laryngealized,HL,RD
yu’u,5.031,0.641,4.223,0.698,20.14,10.151,-1.764,32.753,15.886,1.075,16.371,27.457,32.928,37.256,132.659,0.694,Laryngealized,HL,RD
yu’u,4.34,0.74,4.03,0.795,20.305,10.314,-0.953,32.164,15.945,1.059,16.86,27.825,33.196,37.381,132.466,0.698,Laryngealized,HL,RD
yu’u,3.794,0.815,4.108,0.868,20.566,10.425,-0.574,31.86,15.886,1.002,17.469,28.365,33.552,37.558,132.175,0.703,Laryngealized,HL,RD
yu’u,4.092,0.755,4.086,0.806,20.286,10.172,-0.933,31.95,16.008,0.974,17.949,28.778,33.831,37.651,131.818,0.707,Laryngealized,HL,RD
yu’u,3.59,0.769,4.122,0.815,20.456,10.453,-0.566,32.067,16.183,0.927,18.468,29.264,34.222,37.915,131.325,0.711,Laryngealized,HL,RD
yu’u,4.223,0.792,4.174,0.835,20.408,10.219,-1.349,32.139,16.246,0.915,19.105,29.716,34.514,38.054,130.791,0.716,Laryngealized,HL,RD
yu’u,4.003,0.897,4.312,0.936,20.707,10.682,-1.365,32.615,16.187,0.898,19.475,30.003,34.736,38.178,130.244,0.72,Laryngealized,HL,RD
yu’u,4.505,0.837,4.467,0.874,20.602,10.366,-2.111,32.81,16.235,0.884,19.86,30.204,34.858,38.223,129.704,0.724,Laryngealized,HL,RD
yu’u,4.347,0.924,4.659,0.957,20.819,10.923,-2.24,33.555,16.086,0.867,20.103,30.412,35.002,38.273,129.188,0.728,Laryngealized,HL,RD
yu’u,5.281,0.908,4.621,0.94,20.648,10.533,-3.231,33.664,16.018,0.865,20.401,30.746,35.223,38.4,128.677,0.733,Laryngealized,HL,RD
yu’u,5.694,0.952,4.747,0.982,20.639,10.884,-3.887,34.947,15.917,0.803,20.201,30.546,35.094,38.365,128.21,0.737,Laryngealized,HL,RD
yu’u,6.412,0.835,4.693,0.864,20.355,10.602,-4.662,35.372,15.797,0.794,20.217,30.438,34.997,38.294,127.838,0.741,Laryngealized,HL,RD
yu’u,6.478,0.842,4.684,0.868,20.33,10.94,-4.831,36.101,15.636,0.729,20.009,30.118,34.712,38.084,127.533,0.746,Laryngealized,HL,RD
yu’u,6.832,0.822,4.786,0.847,20.055,10.883,-5.401,36.456,15.747,0.727,19.511,29.667,34.408,37.924,127.324,0.75,Laryngealized,HL,RD
